id,name,city,country,coordinates
delhi-anand-vihar,Anand Vihar,Delhi,IN,"{'latitude': 28.646, 'longitude': 77.315}"
delhi-rk-puram,R.K. Puram,Delhi,IN,"{'latitude': 28.562, 'longitude': 77.183}"
delhi-mandir-marg,Mandir Marg,Delhi,IN,"{'latitude': 28.637, 'longitude': 77.207}"
delhi-ashok-vihar,Ashok Vihar,Delhi,IN,"{'latitude': 28.692, 'longitude': 77.17}"
bangalore-btm,BTM Layout,Bangalore,IN,"{'latitude': 12.916, 'longitude': 77.61}"
bangalore-peenya,Peenya,Bangalore,IN,"{'latitude': 13.03, 'longitude': 77.53}"
bangalore-yeshwanthpur,Yeshwanthpur,Bangalore,IN,"{'latitude': 13.02, 'longitude': 77.55}"
bangalore-whitefield,Whitefield,Bangalore,IN,"{'latitude': 12.969, 'longitude': 77.749}"
mumbai-bandra,Bandra,Mumbai,IN,"{'latitude': 19.054, 'longitude': 72.84}"
mumbai-kurla,Kurla,Mumbai,IN,"{'latitude': 19.074, 'longitude': 72.88}"
mumbai-borivali,Borivali,Mumbai,IN,"{'latitude': 19.231, 'longitude': 72.856}"
mumbai-dadar,Dadar,Mumbai,IN,"{'latitude': 19.017, 'longitude': 72.843}"
12,SPARTAN - IIT Kanpur,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.519, 'longitude': 80.233}"
13,"Delhi Technological University, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.744, 'longitude': 77.12}"
15,IGI Airport,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.56, 'longitude': 77.094}"
16,Civil Lines,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6787, 'longitude': 77.2262}"
17,"R K Puram, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.563262, 'longitude': 77.186937}"
22,SPARTAN - Dhaka University,,"{'id': 128, 'code': 'BD', 'name': 'Bangladesh'}","{'latitude': 23.728, 'longitude': 90.398}"
50,"Punjabi Bagh, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.674045, 'longitude': 77.131023}"
103,"Income Tax Office, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.623499999999996, 'longitude': 77.2494}"
235,"Anand Vihar, New Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.646835, 'longitude': 77.316032}"
236,"Mandir Marg, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6341, 'longitude': 77.2005}"
286,Collectorate - Gaya - BSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 24.7489694, 'longitude': 84.9438395}"
301,"Vikas Sadan, Gurugram - HSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.4501238, 'longitude': 77.0263051}"
346,"MD University, Rohtak - HSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.876028, 'longitude': 76.619464}"
354,"Lalbagh, DN Park",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.84578611, 'longitude': 80.93874444}"
378,Alandur Bus Depot,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.99711389, 'longitude': 80.19151667}"
407,"Zoo Park, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.349694, 'longitude': 78.451437}"
412,"Peenya, Bengaluru - KSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 13.0339, 'longitude': 77.51321111}"
431,"IHBAS, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6821, 'longitude': 77.305}"
594,"BTM Layout, Bengaluru - KSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.912811110000002, 'longitude': 77.60921944}"
697,"Haldia, Haldia - WBPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 22.06047, 'longitude': 88.109737}"
703,Collectorate Jodhpur - RSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.2920639, 'longitude': 73.0379111111111}"
716,"Rabindra Bharati University, Kolkata - WBSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 22.627875, 'longitude': 88.3804}"
797,City Railway Station - KSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9773472, 'longitude': 77.5706972222222}"
854,Chandrapur,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 19.95, 'longitude': 79.3}"
860,"Sanjay Palace, Agra - UPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 27.19865833, 'longitude': 78.00598056}"
910,Victoria Memorial - WBSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 22.572646, 'longitude': 88.36389499999996}"
985,Collectorate - Muzaffarpur - BSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.0762, 'longitude': 85.4115}"
2345,VK Industrial Area Jaipur - RSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.9738778, 'longitude': 75.7738777777777}"
2445,US Diplomatic Post: Dhaka,,"{'id': 128, 'code': 'BD', 'name': 'Bangladesh'}","{'latitude': 23.797687, 'longitude': 90.423698}"
2456,"Talkatora District Industries Center, Lucknow - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.83399722, 'longitude': 80.8917361}"
2459,US Diplomatic Post: Hyderabad,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.443464, 'longitude': 78.47489}"
2460,US Diplomatic Post: Kolkata,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 22.547142, 'longitude': 88.351048}"
2461,US Diplomatic Post: Chennai,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 13.052371, 'longitude': 80.251932}"
2463,Central School,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.85272778, 'longitude': 80.99632778}"
2503,"Shadipur, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.651699999999998, 'longitude': 77.1581}"
2549,IIT,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.992513890000001, 'longitude': 80.23744722}"
2583,"Sector-6, Panchkula - HSPCB ",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 30.7057778, 'longitude': 76.85318056}"
2585,AAQMS Karve Road Pune,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 18.497484, 'longitude': 73.81349}"
2586,"Manali, Chennai - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 13.164544, 'longitude': 80.26285}"
2587,"Sector16A, Faridabad - HSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.410122219999998, 'longitude': 77.313775}"
2589,SaneguravaHalli - KSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9916694, 'longitude': 77.5458305555555}"
2591,Ardhali Bazar,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 25.35055556, 'longitude': 82.97833333}"
2592,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.93890556, 'longitude': 77.69727222}"
2593,IGSC Planetarium Complex - Patna - BSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 25.3636, 'longitude': 85.0755}"
2594,"Sanathnagar, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.42329722, 'longitude': 78.47469722}"
2595,Nehru Nagar,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.470308800000005, 'longitude': 80.3251749}"
2596,"Solapur, Solapur - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.6599188, 'longitude': 75.9063906}"
2597,US Diplomatic Post: New Delhi,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.598096, 'longitude': 77.189066}"
2598,Navi Mumbai Municipal Corporation Airoli,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 19.1494, 'longitude': 72.9986}"
3459,Embassy Kathmandu,,"{'id': 145, 'code': 'NP', 'name': 'Nepal'}","{'latitude': 27.738703, 'longitude': 85.336206}"
3460,Phora Durbar Kathman,,"{'id': 145, 'code': 'NP', 'name': 'Nepal'}","{'latitude': 27.712464, 'longitude': 85.315703}"
5404,"Pusa, Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.639645, 'longitude': 77.146263}"
5408,"Secretariat, Amaravati - APPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 16.5150833, 'longitude': 80.5181667}"
5443,"Mahakaleshwar Temple, Ujjain - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.182719, 'longitude': 75.768218}"
5505,"Birla Staff colony, Satna - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 24.5908256, 'longitude': 80.8574279}"
5509,"Anand Vihar, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.647622000000002, 'longitude': 77.315809}"
5540,"Punjabi Bagh, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6670856, 'longitude': 77.1301247}"
5541,"Burari Crossing, New Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.7256504, 'longitude': 77.2011573}"
5542,"Civil Line, Jalandhar - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 31.321907, 'longitude': 75.578914}"
5544,"Model Town, Patiala - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 30.349388, 'longitude': 76.366642}"
5546,Tata Stadium - Jorapokhar - JSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.707909, 'longitude': 86.41467}"
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9352049, 'longitude': 77.6814488}"
5548,"BTM Layout, Bengaluru - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9135218, 'longitude': 77.5950804}"
5551,"Golden Temple, Amritsar - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 31.62, 'longitude': 74.876512}"
