location_id,pm2_5,pm10,no2,so2,o3,co,aqi
manual-delhi,64.12,85.27,15.77,2.5,46.84,528.63,4
manual-mumbai,1.25,4.2,0.07,0.13,39.86,82.11,1
manual-bangalore,11.46,17.73,13.95,3.34,16.88,281.58,2
12,15.68,22.5,6.29,1.31,27.61,308.03,2
13,63.35,85.06,14,2.33,52.29,494.06,4
15,62.28,82.71,15.03,2.45,48.04,520.72,4
16,64.12,85.27,15.77,2.5,46.84,528.63,4
17,62.28,82.71,15.03,2.45,48.04,520.72,4
22,7.49,12.21,1.94,0.77,39.49,141.03,1
50,63.35,85.06,14,2.33,52.29,494.06,4
103,64.12,85.27,15.77,2.5,46.84,528.63,4
235,64.12,85.27,15.77,2.5,46.84,528.63,4
236,64.12,85.27,15.77,2.5,46.84,528.63,4
286,14.68,16.16,16.12,3.67,0.47,388.85,2
301,62.28,82.71,15.03,2.45,48.04,520.72,4
346,62.38,88.09,14.44,2.17,53.07,475.73,4
354,17.34,26.82,9.45,1.51,21.35,356.85,2
378,40.02,48.64,17.16,4.64,36.2,435.12,3
407,3.6,6.56,9.21,4.77,18.94,159.81,1
412,5.97,9.88,8.17,1.69,17.16,200.08,1
431,64.12,85.27,15.77,2.5,46.84,528.63,4
594,9.59,14.87,12.37,2.74,16.43,260.35,1
697,12.65,15.41,0.81,0.65,72.37,158.58,2
703,10.05,22.47,3.92,0.66,47.63,163.28,2
716,9,10.12,0.8,0.53,70.08,158.29,2
797,11.46,17.73,13.95,3.34,16.88,281.58,2
854,8.41,11.08,3.13,0.68,19.28,183.18,1
860,28.71,33.87,5.4,0.87,53.26,374.39,3
910,9.02,10.56,0.66,0.41,70.8,153.33,2
985,12.42,15.94,12.51,3.07,11.91,374.03,2
2345,12.12,16.83,4.09,0.93,71.98,315.68,2
2445,7.14,11.85,1.81,0.68,38.48,140.28,1
2456,17.34,26.82,9.45,1.51,21.35,356.85,2
2459,3.81,7.4,9.14,3.66,16.95,173.45,1
2460,9.02,10.56,0.66,0.41,70.8,153.33,2
2461,43.2,51.92,14.01,3.26,47.23,426.57,3
2463,17.34,26.82,9.45,1.51,21.35,356.85,2
2503,63.35,85.06,14,2.33,52.29,494.06,4
2549,44.64,52.56,13.22,3.98,53.59,393.89,3
2583,72.88,94.39,8.11,4.26,68.16,476.25,4
2585,1.26,2.16,0.83,0.22,35.48,87.81,1
2586,43.2,51.92,14.01,3.26,47.23,426.57,3
2587,61.75,81.22,15.72,2.52,45.37,534.81,4
2589,11.46,17.73,13.95,3.34,16.88,281.58,2
2591,15.46,19.18,6.32,0.93,13.99,351.98,2
2592,9.59,14.87,12.37,2.74,16.43,260.35,1
2593,14.85,17.21,17.86,4.04,5.5,369.93,2
